model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	2-4	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	2-4	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.1	1	0.25	0.75	0.3333333333333333	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.1	2	0.25	0.75	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	4-6	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	4-6	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	4-6	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.1	1	0.25	0.75	0.3333333333333333	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	6-8	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	6-8	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	6-8	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	13	act/31	0	4	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	5	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	14	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6206896551724138	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	15	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6206896551724138	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	16	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6206896551724138	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	17	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.6666666666666666	0.3448275862068966	0.6206896551724138	0.4482758620689655	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	18	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.5833333333333334	0.3448275862068966	0.6206896551724138	0.41379310344827586	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	19	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.5833333333333334	0.3448275862068966	0.6206896551724138	0.41379310344827586	0.7241379310344828
qwen3.5-9b	hand-crafted	13	act/31	0	20	base	-	0.0	-	0.16666666666666666	0.5833333333333334	0.16666666666666666	0.5833333333333334	0.3448275862068966	0.6206896551724138	0.4482758620689655	0.7586206896551724
qwen3.5-9b	hand-crafted	14	act/31	0	3	base	-	0.0	-	0.25	0.6666666666666666	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6896551724137931
qwen3.5-9b	hand-crafted	14	act/31	0	4	base	-	0.0	-	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	7	base	-	0.0	-	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	8	base	-	0.0	-	0.25	0.6666666666666666	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	9	base	-	0.0	-	0.25	0.6666666666666666	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	10	base	-	0.0	-	0.25	0.6666666666666666	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	11	base	-	0.0	-	0.25	0.75	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	12	base	-	0.0	-	0.25	0.8333333333333334	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	13	base	-	0.0	-	0.25	0.8333333333333334	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	14	base	-	0.0	-	0.25	0.75	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	15	base	-	0.0	-	0.25	0.8333333333333334	0.3333333333333333	0.9166666666666666	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	16	base	-	0.0	-	0.25	0.8333333333333334	0.25	0.8333333333333334	0.3448275862068966	0.6551724137931034	0.4482758620689655	0.6551724137931034
