model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.4	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.2	2	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.4	2	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.8	2	0.2222222222222222	0.3888888888888889	0.5	0.9444444444444444	0.32608695652173914	0.6304347826086957	0.43478260869565216	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.1	2	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6086956521739131	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.6	2	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6086956521739131	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.2	2	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.2	3	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.4	3	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.4	3	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.4	4	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	1.0	4	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6739130434782609	0.4782608695652174	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.8	4	0.2222222222222222	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6521739130434783	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.8	4	0.2222222222222222	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.2	5	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.8	5	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6521739130434783	0.45652173913043476	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	1.0	5	0.2222222222222222	0.4444444444444444	0.2777777777777778	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.45652173913043476	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.2	5	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.8	5	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	1.0	5	0.2222222222222222	0.5	0.3333333333333333	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.45652173913043476	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.2	5	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.4	5	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.43478260869565216	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.6	5	0.2222222222222222	0.5555555555555556	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.43478260869565216	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	1.0	5	0.2222222222222222	0.5	0.3333333333333333	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.45652173913043476	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.4	all	0.16666666666666666	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	0.8	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	backprop	0-8	1.0	all	0.2222222222222222	0.4444444444444444	0.2777777777777778	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.4	all	0.16666666666666666	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	0.8	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-strong	0-8	1.0	all	0.2222222222222222	0.4444444444444444	0.2777777777777778	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.4	all	0.16666666666666666	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	0.8	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-near	0-8	1.0	all	0.2222222222222222	0.4444444444444444	0.2777777777777778	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.1	1	0.16666666666666666	0.4444444444444444	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.9130434782608695
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.1	1	0.16666666666666666	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.4	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.6	1	0.2222222222222222	0.5	0.4444444444444444	0.8888888888888888	0.32608695652173914	0.6521739130434783	0.391304347826087	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.8	1	0.2222222222222222	0.5555555555555556	0.4444444444444444	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.34782608695652173	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	1.0	1	0.2777777777777778	0.6111111111111112	0.4444444444444444	0.9444444444444444	0.32608695652173914	0.6739130434782609	0.3695652173913043	0.9130434782608695
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.4	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.1	2	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.1	2	0.16666666666666666	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	2	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.6	2	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.391304347826087	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.8	2	0.16666666666666666	0.4444444444444444	0.3333333333333333	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.391304347826087	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	1.0	2	0.16666666666666666	0.4444444444444444	0.3888888888888889	0.9444444444444444	0.32608695652173914	0.6304347826086957	0.391304347826087	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.1	2	0.16666666666666666	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.1	3	0.16666666666666666	0.5	0.2777777777777778	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.2	3	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.1	3	0.16666666666666666	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.4	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.6	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.2	3	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.4	3	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.1	4	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	1.0	4	0.16666666666666666	0.4444444444444444	0.3888888888888889	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.43478260869565216	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.8	4	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.2	4	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.6	4	0.2222222222222222	0.5555555555555556	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.8	4	0.2222222222222222	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6521739130434783	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.1	5	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.2	5	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	1.0	5	0.2222222222222222	0.5	0.3888888888888889	0.8333333333333334	0.32608695652173914	0.6956521739130435	0.43478260869565216	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	5	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.8	5	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.2	5	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.4	5	0.2222222222222222	0.5	0.3333333333333333	0.7777777777777778	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.8	5	0.2222222222222222	0.5	0.3333333333333333	0.8888888888888888	0.32608695652173914	0.6739130434782609	0.43478260869565216	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	8-16	1.0	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.45652173913043476	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-strong	8-16	1.0	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.45652173913043476	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	0.2	all	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	succ-near	8-16	1.0	all	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6739130434782609	0.45652173913043476	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.4	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	16-24	0.4	1	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8478260869565217
deepseek-8b	magentic	15	act/10	0	4	backprop	16-24	0.1	2	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6086956521739131	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.1	2	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.2	2	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.6	2	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6521739130434783	0.391304347826087	0.782608695652174
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.8	2	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.391304347826087	0.8260869565217391
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	1.0	2	0.2222222222222222	0.3888888888888889	0.3888888888888889	0.9444444444444444	0.32608695652173914	0.6521739130434783	0.391304347826087	0.8695652173913043
deepseek-8b	magentic	15	act/10	0	4	succ-near	16-24	0.1	2	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	16-24	0.1	3	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6086956521739131	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	backprop	16-24	0.2	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.5869565217391305	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.1	3	0.16666666666666666	0.5	0.2777777777777778	0.8888888888888888	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8913043478260869
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.2	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-strong	16-24	0.6	3	0.2222222222222222	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8043478260869565
deepseek-8b	magentic	15	act/10	0	4	succ-near	16-24	0.2	3	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.32608695652173914	0.6304347826086957	0.41304347826086957	0.8260869565217391
